,Unnamed: 0,brand,name,old_price,new_price,ml,concentration,department,family,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,main family,fam_values
0,0,PACO RABANNE,1 Million Lucky,395,244.55,100,EDT,Men,Woody,"Oakmoss, Patchouli and Vetiver","Hazelnut, Jasmine, Cashmir Wood, Cedar and Honey",5,noon,4.2,98.1K,Woody,
1,1,Roberto Cavalli,Paradiso Assoluto,415,107.95,50,EDP,Women,Floral,"Vanilla, Sandalwood And Patchouli",Wild Jasmine and Red Lily,4.8,noon,4.2,98.1K,Floral,
2,2,S.T.Dupont,Royal Amber,265,186.9,100,EDP,Unisex,Arabian,"Lemon, Mint and Wood Moss",Sandalwood and Cedar,5,noon,4.2,98.1K,Woody,
3,3,GUESS,Seductive Blue,290,103.2,100,EDT,Men,Spicy,"Cashmere Wood, Moss And Rippled Sand Accord",Blue Coral Aquaspace Accord And Geranium,3,noon,4.2,98.1K,Oriental,
4,4,Roberto Cavalli,Uomo,260,94.95,50,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,4.8,noon,4.2,98.1K,Woody,
5,5,Roberto Cavalli,cavalli,260,94.95,50,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,4.8,noon,4.2,98.1K,Woody,
6,6,HUGO BOSS,The Scent,220,220,50,EDP,Women,Oriental,Roasted Cocoa,"Lavender, Osmanthus Flower",4,rich&light,43,4K,Oriental,
7,7,DORALL COLLECTION,Gold Secret,43,12.35,100,EDT,Men,Fruity,Labdanum and Musk,Lavender and Cloves,2.9,B.A.G,3.7,14.1K,Floral,
8,8,GUCCI,Bamboo,575,189,75,EDP,Women,Floral,Sandalwood,Casablanca Lily and Ylang Ylang Extra-Comoros,4.8,Al-Najm,3.7,347,Floral,
9,9,Yves Saint Laurent,M7 Oud Absolu,536,273,80,EDT,Men,Arabian,"Cistus, Myrrh, Oud, Amber",Patchouli,4.5,Al-Najm,3.7,347,Woody,
10,10,CERRUTI 1881,1881,335,119.55,100,EDT,Men,Fresh,"Musk, Sandalwood, Patchouli, Oak Moss, Cedar, Pepper And Pine Tree","Vetiver, Ylang-Ylang, Rose, Lily-Of-The-Valley And Cassia",4.3,AMLAQ,3.9,135,Fresh,
11,11,Calvin Klein,IN 2 U MEN,152,85,100,EDT,Men,Citrus,"White Musk, Vetiver and Cedar",Cacao Pod,3.7,AMLAQ,3.9,135,Fresh,
